
time,A_instanceElectricity,B_instanceElectricity,E_instanceElectricity,F_instanceElectricity
31-Jan-2022 09:00:00,123.709441460729,-2672.4897461331,573.968015175342,3446.80781115443
31-Jan-2022 10:00:00,-379.821398696796,-3611.52179907942,580.662926489578,3418.50267597154
31-Jan-2022 11:00:00,-631.865874526661,-3723.56399980068,410.069222523916,4490.53555477507
31-Jan-2022 12:00:00,-376.204402378428,-3726.01644183073,542.018802532282,2348.74097234422
31-Jan-2022 13:00:00,-482.592920362265,-3516.54503620389,436.311215315498,912.050939349952
31-Jan-2022 14:00:00,-218.669765048516,-2769.45565209991,80.3287023623658,3151.81494798399
31-Jan-2022 15:00:00,24.0401690169742,-1542.88399479864,70.9808043274598,3486.48730230528
31-Jan-2022 16:00:00,-59.1474219377066,-154.602172440241,504.059825350817,3586.06930659074
31-Jan-2022 17:00:00,82.7376089326095,339.728972596196,1224.91378289128,4115.91597012133
31-Jan-2022 18:00:00,43.0442307765582,940.842105321618,786.632556826409,3672.02041718867
31-Jan-2022 19:00:00,-64.1771119989174,928.441780637918,327.325530785448,3651.65496901006
31-Jan-2022 20:00:00,276.91657334746,782.486890146395,538.052101477537,3703.23039576337
31-Jan-2022 21:00:00,776.809930075493,1262.40346820011,387.741936862461,3845.44426109726
31-Jan-2022 22:00:00,3106.51913724107,584.58095075869,893.198734906748,4866.02337780888
31-Jan-2022 23:00:00,5918.17260715798,518.683782459189,587.861111622232,4377.84112712793
01-Feb-2022 00:00:00,4374.73620411288,654.91092266642,-119.560472062155,3211.99764081482
01-Feb-2022 01:00:00,2069.01871402489,329.834451299397,113.081723638499,3029.39708765685
01-Feb-2022 02:00:00,2314.0829362457,486.478999157283,8.89099521621109,2628.05976685577
01-Feb-2022 03:00:00,1127.92749803784,181.55812868724,40.9579447911199,5460.43845457603
01-Feb-2022 04:00:00,565.320854437545,1073.54770173299,49.5182688539162,6111.78796163373
01-Feb-2022 05:00:00,1570.3926515025,1704.74523815993,8.65198999058557,3967.22709639361
01-Feb-2022 06:00:00,584.866586476378,813.369439638599,62.5426066502935,5660.08475048054
01-Feb-2022 07:00:00,-146.461346249363,406.235906332342,2.70086393406304,4726.99858560723
01-Feb-2022 08:00:00,49.0072910911199,169.316561830784,392.196432660559,3376.46709784994
01-Feb-2022 09:00:00,35.2114483571321,135.99440758923,364.725735314349,3499.51557581031
01-Feb-2022 10:00:00,-436.665489038612,-1044.63622641537,-27.8527078598874,2668.47022499161
01-Feb-2022 11:00:00,-1310.29802898569,-2039.47098058839,145.496436959128,3523.85869610671
01-Feb-2022 12:00:00,-1049.07699936655,-1977.30342261599,361.427649427717,2100.73684549825
01-Feb-2022 13:00:00,-680.052782731502,-2447.3188817138,171.393262472511,922.990115904935
01-Feb-2022 14:00:00,-446.645015676109,-1654.82548266052,-56.9454684987944,2355.53727192162
01-Feb-2022 15:00:00,55.0240983598896,-118.243701371262,327.910450605268,2362.18307921764
01-Feb-2022 16:00:00,-59.9913455869056,362.892000767992,525.58126055086,2656.34479968834
01-Feb-2022 17:00:00,48.214443429823,373.4972609639,402.489755825328,3167.67081831993
01-Feb-2022 18:00:00,-6.5617707641434,669.13628949495,766.015080566874,3295.82420867995
01-Feb-2022 19:00:00,-34.7525848598035,515.01526274739,485.942747804592,3095.89592408307
01-Feb-2022 20:00:00,128.23878355683,1282.74342575511,484.703378147783,2524.75800240931
01-Feb-2022 21:00:00,-135.141555219843,2070.34216148629,1053.13824295789,4374.33467084455
01-Feb-2022 22:00:00,3073.02858939375,786.235731144343,486.573863684151,5578.07326158959
01-Feb-2022 23:00:00,6012.7265647669,525.927021737914,56.0106157369134,3726.87306684731
02-Feb-2022 00:00:00,2839.55979926476,579.207932087513,93.1806589217014,3679.89233921259
02-Feb-2022 01:00:00,638.858709483178,200.903381202015,-10.1647544523737,4301.05636163937
02-Feb-2022 02:00:00,1714.94249466237,423.151691337716,67.0433252663993,3566.19443801521
02-Feb-2022 03:00:00,1766.59036467106,415.758871304455,32.6308985499865,5192.14611915557
02-Feb-2022 04:00:00,2158.52843553721,957.974345466067,15.3263351398583,5226.64934826626
02-Feb-2022 05:00:00,2562.61624414697,1212.67635496696,75.5378246059487,3074.84959915161
02-Feb-2022 06:00:00,852.580510455699,968.987817489247,-36.8986716898214,3985.64980008949
02-Feb-2022 07:00:00,-162.391542042682,268.444953436466,204.954124788242,3356.50515363064
02-Feb-2022 08:00:00,96.8729508983559,-1091.2848282754,370.646577796686,2302.90430969806
02-Feb-2022 09:00:00,34.8140853383266,-1659.50946471166,23.4548995131308,2915.18396978835
02-Feb-2022 10:00:00,-171.365004236166,-2085.45055133648,29.3012575674683,2674.95525000286
02-Feb-2022 11:00:00,-629.814324321102,-2158.80124180366,70.5996277719501,2843.45981392338
02-Feb-2022 12:00:00,-569.020207478881,-1642.48187212968,43.9470307633674,1296.68727577773
02-Feb-2022 13:00:00,-411.245906396204,-1371.29467481206,42.0384535875781,170.96059612612
02-Feb-2022 14:00:00,-428.606521905173,-629.757544854776,1.59076412102316,1644.10561703428
02-Feb-2022 15:00:00,-29.144490042801,150.413108581483,93.3155656718738,2388.56143765998
02-Feb-2022 16:00:00,-18.1964391668231,664.058250622685,-73.8068438407628,2455.98987396337
02-Feb-2022 17:00:00,-9.8714606170681,946.853515292692,327.39340576691,2703.07363333512
02-Feb-2022 18:00:00,80.4773619344385,788.984239429167,826.756368511392,3327.52076425558
02-Feb-2022 19:00:00,-102.518659279517,602.185536030924,592.086419685035,2982.26374522154
