timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643592646,,,3044.0,17.0,17.0
1643592676,,,2980.0,,
1643592706,,,3356.0,17.0,18.0
1643592736,,,3416.0,,
1643592766,,,3452.0,18.0,19.0
1643592796,,,3520.0,,
1643592826,,,4012.0,21.0,21.0
1643592855,,,4100.0,,
1643592886,,,4120.0,21.0,22.0
1643592916,,,4152.0,,
1643592946,,,4260.0,22.0,22.0
1643592976,,,4448.0,,
1643593006,,,4220.0,21.0,22.0
1643593036,,,4296.0,,
1643593066,,,4284.0,22.0,22.0
1643593096,,,4280.0,,
1643593126,,,4348.0,22.0,23.0
1643593156,,,4344.0,,
1643593186,,,5364.0,28.0,28.0
1643593216,,,5340.0,,
1643593246,,,5400.0,28.0,28.0
1643593276,,,5428.0,,
1643593306,,,4928.0,25.0,26.0
1643593336,,,4960.0,,
1643593366,,,4856.0,26.0,24.0
1643593396,,,4352.0,,
1643593427,,,5220.0,27.0,27.0
1643593456,,,5052.0,,
1643593486,,,5124.0,26.0,26.0
1643593516,,,4056.0,,
1643593546,,,4128.0,22.0,22.0
1643593577,,,4148.0,,
1643593607,,,4104.0,21.0,22.0
1643593637,,,4104.0,,
1643593667,,,4192.0,21.0,22.0
1643593696,,,4232.0,,
1643593726,,,4248.0,22.0,22.0
1643593757,,,4352.0,,
1643593787,,,3844.0,19.0,21.0
1643593817,,,3800.0,,
1643593847,,,3788.0,19.0,20.0
1643593877,,,3848.0,,
1643593907,,,3812.0,20.0,20.0
1643593937,,,3804.0,,
1643593967,,,3824.0,19.0,20.0
1643593997,,,3780.0,,
1643594027,,,3748.0,19.0,20.0
1643594057,,,3768.0,,
1643594087,,,3776.0,19.0,20.0
1643594117,,,3816.0,,
1643594147,,,4552.0,26.0,21.0
1643594177,,,5200.0,,
1643594207,,,5016.0,31.0,20.0
1643594237,,,3612.0,,
1643594267,,,3644.0,19.0,20.0
1643594297,,,3640.0,,
1643594327,,,3564.0,18.0,19.0
1643594357,,,3516.0,,
1643594387,,,3736.0,20.0,19.0
1643594400,37997.2,17041.6,,,
1643594417,,,3536.0,,
1643594447,,,3340.0,17.0,18.0
1643594477,,,3320.0,,
1643594507,,,3416.0,17.0,18.0
1643594537,,,3352.0,,
1643594567,,,3228.0,16.0,18.0
1643594597,,,3240.0,,
1643594628,,,3248.0,16.0,18.0
1643594657,,,3256.0,,
1643594687,,,3120.0,16.0,17.0
1643594717,,,3128.0,,
1643594747,,,3112.0,16.0,17.0
1643594777,,,3100.0,,
1643594808,,,3116.0,16.0,17.0
1643594837,,,3076.0,,
1643594868,,,3060.0,15.0,17.0
1643594897,,,3072.0,,
1643594928,,,3092.0,16.0,17.0
1643594958,,,3152.0,,
1643594988,,,3356.0,18.0,17.0
1643595017,,,3048.0,,
1643595048,,,3088.0,16.0,17.0
1643595078,,,3024.0,,
1643595108,,,3016.0,15.0,17.0
1643595138,,,3068.0,,
1643595168,,,3196.0,16.0,17.0
1643595198,,,3200.0,,
1643595228,,,3188.0,17.0,17.0
1643595258,,,2984.0,,
1643595288,,,2864.0,15.0,16.0
1643595318,,,2704.0,,
1643595348,,,2660.0,14.0,15.0
1643595378,,,2640.0,,
1643595408,,,2776.0,16.0,14.0
1643595438,,,2360.0,,
1643595468,,,2296.0,12.0,14.0
1643595498,,,2336.0,,
1643595528,,,2284.0,12.0,13.0
1643595558,,,2292.0,,
1643595588,,,2344.0,13.0,13.0
1643595618,,,2284.0,,
1643595648,,,2252.0,12.0,13.0
1643595678,,,2296.0,,
1643595708,,,2304.0,12.0,13.0
1643595738,,,2344.0,,
1643595768,,,2328.0,13.0,13.0
1643595798,,,2404.0,,
1643595829,,,2404.0,14.0,14.0
1643595858,,,2360.0,,
1643595889,,,2408.0,13.0,14.0
1643595919,,,2348.0,,
1643595949,,,2616.0,14.0,15.0
1643595978,,,2640.0,,
1643596009,,,2792.0,14.0,15.0
1643596039,,,2808.0,,
1643596069,,,2896.0,15.0,16.0
1643596099,,,2900.0,,
1643596129,,,2960.0,15.0,16.0
1643596159,,,2920.0,,
1643596189,,,3124.0,16.0,17.0
1643596200,37998.6,17041.6,,,
1643596218,,,3172.0,,
1643596248,,,3180.0,16.0,17.0
1643596278,,,3176.0,,
1643596308,,,3308.0,17.0,18.0
1643596338,,,3300.0,,
1643596368,,,3288.0,17.0,18.0
1643596398,,,3300.0,,
1643596428,,,3528.0,18.0,19.0
1643596458,,,4596.0,,
1643596488,,,4588.0,23.0,24.0
1643596518,,,4624.0,,
1643596548,,,4916.0,25.0,26.0
1643596578,,,4912.0,,
1643596608,,,5028.0,26.0,27.0
1643596638,,,5048.0,,
1643596668,,,5340.0,27.0,28.0
1643596698,,,5272.0,,
1643596728,,,5288.0,27.0,28.0
1643596758,,,5284.0,,
1643596788,,,5504.0,28.0,29.0
1643596819,,,5584.0,,
1643596849,,,5580.0,28.0,29.0
1643596879,,,5228.0,,
1643596909,,,4472.0,23.0,24.0
1643596938,,,5592.0,,
1643596969,,,5500.0,28.0,29.0
1643596999,,,5444.0,,
1643597029,,,5480.0,28.0,29.0
1643597059,,,5524.0,,
1643597089,,,5492.0,28.0,29.0
1643597119,,,5528.0,,
1643597149,,,5484.0,28.0,29.0
1643597179,,,5480.0,,
1643597209,,,5404.0,28.0,29.0
1643597239,,,5332.0,,
1643597269,,,5324.0,27.0,28.0
1643597299,,,5288.0,,
1643597329,,,5240.0,27.0,28.0
1643597359,,,4472.0,,
1643597389,,,4068.0,21.0,22.0
1643597419,,,4076.0,,
1643597449,,,4104.0,21.0,22.0
1643597479,,,4112.0,,
1643597509,,,4024.0,21.0,21.0
1643597539,,,3940.0,,
1643597569,,,3800.0,19.0,21.0
1643597599,,,3828.0,,
1643597629,,,3800.0,19.0,20.0
1643597659,,,3844.0,,
1643597689,,,4732.0,24.0,25.0
1643597719,,,4716.0,,
1643597749,,,4672.0,24.0,25.0
1643597780,,,4672.0,,
1643597810,,,4612.0,24.0,24.0
1643597840,,,4564.0,,
1643597869,,,4688.0,24.0,25.0
1643597899,,,4712.0,,
1643597930,,,4552.0,23.0,24.0
1643597959,,,4988.0,,
1643597990,,,4984.0,28.0,24.0
1643598000,38000.9,17041.6,,,
1643598020,,,4456.0,,
1643598050,,,5464.0,31.0,25.0
1643598080,,,5128.0,,
1643598110,,,5000.0,27.0,25.0
1643598140,,,4648.0,,
1643598170,,,4296.0,22.0,23.0
1643598200,,,4716.0,,
1643598230,,,4332.0,22.0,23.0
1643598260,,,4356.0,,
1643598290,,,4996.0,26.0,26.0
1643598320,,,4952.0,,
1643598350,,,4460.0,25.0,22.0
1643598380,,,4368.0,,
1643598410,,,4536.0,24.0,24.0
1643598440,,,5148.0,,
1643598470,,,5012.0,26.0,26.0
1643598500,,,5108.0,,
1643598530,,,5048.0,26.0,27.0
1643598560,,,5088.0,,
1643598590,,,4924.0,25.0,26.0
1643598620,,,4864.0,,
1643598650,,,4928.0,26.0,26.0
1643598680,,,4944.0,,
1643598711,,,5004.0,26.0,26.0
1643598740,,,4304.0,,
1643598770,,,4304.0,22.0,23.0
1643598801,,,3040.0,,
1643598830,,,3020.0,16.0,17.0
1643598860,,,3644.0,,
1643598891,,,3988.0,21.0,22.0
1643598920,,,3584.0,,
1643598951,,,3716.0,20.0,20.0
1643598980,,,3756.0,,
1643599010,,,3972.0,21.0,21.0
1643599041,,,4356.0,,
1643599071,,,4480.0,23.0,24.0
1643599101,,,4500.0,,
1643599130,,,5048.0,26.0,26.0
1643599161,,,4844.0,,
1643599191,,,4012.0,21.0,21.0
1643599221,,,4032.0,,
1643599251,,,4072.0,21.0,22.0
1643599281,,,5296.0,,
1643599311,,,5304.0,28.0,28.0
1643599341,,,5348.0,,
1643599371,,,5268.0,27.0,28.0
1643599401,,,5396.0,,
1643599431,,,5660.0,29.0,30.0
1643599461,,,5456.0,,
1643599491,,,6668.0,35.0,35.0
1643599521,,,6328.0,,
1643599551,,,5276.0,27.0,28.0
1643599581,,,5816.0,,
1643599611,,,4932.0,25.0,26.0
1643599641,,,5072.0,,
1643599671,,,4844.0,25.0,26.0
1643599701,,,3956.0,,
1643599731,,,3692.0,19.0,20.0
1643599761,,,3636.0,,
1643599791,,,3632.0,19.0,20.0
1643599800,38003.3,17041.6,,,
1643599821,,,3520.0,,
1643599852,,,3744.0,20.0,19.0
1643599882,,,3576.0,,
1643599911,,,3672.0,19.0,20.0
1643599941,,,3736.0,,
1643599972,,,3792.0,19.0,21.0
1643600001,,,4168.0,,
1643600031,,,5360.0,27.0,29.0
1643600062,,,5468.0,,
1643600091,,,5532.0,29.0,29.0
1643600121,,,5416.0,,
1643600152,,,5452.0,29.0,29.0
1643600182,,,5256.0,,
1643600212,,,5220.0,27.0,28.0
1643600242,,,5216.0,,
1643600272,,,5304.0,28.0,28.0
1643600302,,,5228.0,,
1643600332,,,4804.0,25.0,26.0
1643600362,,,3404.0,,
1643600392,,,3232.0,17.0,18.0
1643600422,,,3328.0,,
1643600452,,,3156.0,16.0,17.0
1643600482,,,3140.0,,
1643600512,,,3164.0,17.0,17.0
1643600542,,,3128.0,,
1643600572,,,3040.0,16.0,17.0
1643600602,,,2976.0,,
1643600632,,,2972.0,15.0,17.0
1643600662,,,2892.0,,
1643600692,,,2880.0,15.0,16.0
1643600722,,,3048.0,,
1643600752,,,3028.0,16.0,17.0
1643600782,,,3024.0,,
1643600812,,,2920.0,15.0,16.0
1643600842,,,3248.0,,
1643600872,,,2864.0,15.0,16.0
1643600902,,,2996.0,,
1643600932,,,2800.0,15.0,15.0
1643600962,,,2888.0,,
1643600992,,,2904.0,15.0,15.0
1643601022,,,2852.0,,
1643601052,,,2848.0,14.0,15.0
1643601082,,,3016.0,,
1643601112,,,3152.0,17.0,16.0
1643601142,,,3132.0,,
1643601173,,,3056.0,15.0,17.0
1643601202,,,3072.0,,
1643601233,,,3176.0,16.0,17.0
1643601263,,,3640.0,,
1643601293,,,3380.0,17.0,18.0
1643601323,,,3456.0,,
1643601353,,,3476.0,18.0,18.0
1643601383,,,3700.0,,
1643601413,,,3668.0,19.0,20.0
1643601443,,,3584.0,,
1643601473,,,3552.0,18.0,19.0
1643601502,,,3560.0,,
1643601533,,,3644.0,19.0,19.0
1643601563,,,3580.0,,
1643601593,,,3560.0,18.0,19.0
1643601600,38005.1,17041.6,,,
1643601623,,,1548.0,,
1643601653,,,1428.0,8.0,9.0
1643601683,,,1344.0,,
1643601713,,,1188.0,7.0,8.0
1643601743,,,1216.0,,
1643601773,,,1240.0,7.0,8.0
1643601803,,,1040.0,,
1643601833,,,920.0,6.0,7.0
1643601863,,,880.0,,
1643601893,,,876.0,6.0,7.0
1643601923,,,868.0,,
