time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,daySin,weekSin
1643590920,560.9505808,6.022693591,5.14E-121,4441.517353,1.3,0.267238376,-0.468370459
1643590980,522.93801,6.002964594,0,4441.526284,1.3,0.27144045,-0.468921102
1643591040,575.6597383,5.965448034,7.16E-120,4441.535372,1.3,0.275637356,-0.469471563
1643591100,465.1495067,6.135243269,0,4441.544611,1.3,0.279829014,-0.470021841
1643591160,652.6191537,5.49357889,9.97E-119,4441.553992,1.3,0.284015345,-0.470571936
1643591220,1054.920775,8.455001357,0,4441.563505,1.3,0.288196268,-0.471121849
1643591280,1038.991054,11.31146198,1.39E-117,4441.573144,1.3,0.292371705,-0.471671579
1643591340,1198.565431,11.83536833,0,4441.582899,1.3,0.296541575,-0.472221125
1643591400,1315.162813,13.19681561,1.91E-116,4441.592763,1.3,0.300705799,-0.472770488
1643591460,1206.301096,13.07899741,0,4441.602727,1.3,0.304864299,-0.473319667
1643591520,1260.07782,12.35914281,2.75E-115,4441.612783,1.3,0.309016994,-0.473868662
1643591580,860.7915457,12.48443136,0,4441.622922,1.3,0.313163806,-0.474417474
1643591640,447.3063348,9.086187867,3.88E-114,4441.633136,1.3,0.317304656,-0.4749661
1643591700,503.4845632,5.396378272,0,4441.643418,1.3,0.321439465,-0.475514543
1643591760,517.0799261,6.147716597,5.29E-113,4441.653757,1.3,0.325568154,-0.4760628
1643591820,538.1079378,6.027742196,0,4441.664147,1.3,0.329690645,-0.476610873
1643591880,524.9874731,5.626620302,7.26E-112,4441.674579,1.3,0.333806859,-0.47715876
1643591940,469.5680076,4.428206652,0,4441.685044,1.3,0.337916718,-0.477706462
1643592000,457.3602996,3.873465127,1.01E-110,4441.695535,1.3,0.342020143,-0.478253979
1643592060,478.2777288,4.328766172,0,4441.706042,1.3,0.346117057,-0.478801309
1643592120,616.712848,5.962303517,1.41E-109,4441.716558,1.3,0.350207381,-0.479348454
1643592180,720.9775929,7.646301327,0,4441.727075,1.3,0.354291038,-0.479895412
1643592240,749.2764711,8.083803161,1.90E-108,4441.737583,1.3,0.35836795,-0.480442184
1643592300,773.9245368,7.861319211,0,4441.748075,1.3,0.362438038,-0.480988769
1643592360,797.334734,8.582943189,2.74E-107,4441.758543,1.3,0.366501227,-0.481535167
1643592420,734.5084049,8.619005254,0,4441.768977,1.3,0.370557437,-0.482081378
1643592480,624.4643182,7.878105238,3.82E-106,4441.77937,1.3,0.374606593,-0.482627402
1643592540,614.1995943,8.006495091,0,4441.789714,1.3,0.378648617,-0.483173239
1643592600,580.9022622,8.095914399,5.32E-105,4441.8,1.3,0.382683432,-0.483718887
1643592660,500.9578161,7.496935275,0,4441.810222,1.3,0.386710962,-0.484264348
1643592720,503.9157762,6.99133524,7.40E-104,4441.820382,1.3,0.390731128,-0.48480962
1643592780,530.921805,6.564097964,0,4441.830487,1.3,0.394743856,-0.485354704
1643592840,563.4516397,5.867931408,9.98E-103,4441.840539,1.3,0.398749069,-0.4858996
1643592900,613.0479154,6.13101629,0,4441.850546,1.3,0.40274669,-0.486444307
1643592960,535.5823695,5.522679014,1.39E-101,4441.860511,1.3,0.406736643,-0.486988824
1643593020,514.4090843,4.893412199,0,4441.870439,1.3,0.410718853,-0.487533153
1643593080,568.9214651,5.031485551,1.94E-100,4441.880335,1.3,0.414693243,-0.488077292
1643593140,483.1407607,4.975519494,0,4441.890205,1.3,0.418659738,-0.488621241
1643593200,557.1576762,5.1742349,2.82E-99,4441.900052,1.3,0.422618262,-0.489165001
1643593260,635.2429977,7.38306346,0,4441.909883,1.3,0.42656874,-0.489708571
1643593320,547.4802984,6.537384687,3.80E-98,4441.919702,1.3,0.430511097,-0.49025195
1643593380,558.24464,5.817027424,0,4441.929514,1.3,0.434445257,-0.490795139
1643593440,557.7409897,6.146505619,5.29E-97,4441.939323,1.3,0.438371147,-0.491338137
1643593500,561.2553858,5.796653805,0,4441.949136,1.3,0.44228869,-0.491880944
1643593560,598.0188768,6.568805088,7.36E-96,4441.958955,1.3,0.446197813,-0.49242356
1643593620,605.5346378,6.97790362,0,4441.968788,1.3,0.450098441,-0.492965985
1643593680,614.0969667,7.168173024,1.03E-94,4441.978638,1.3,0.4539905,-0.493508218
1643593740,598.6612667,6.447478359,0,4441.988511,1.3,0.457873915,-0.49405026
1643593800,588.6856936,5.992135761,1.43E-93,4441.998411,1.3,0.461748613,-0.494592109
1643593860,561.8148913,5.935386005,0,4442.008343,1.3,0.46561452,-0.495133766
1643593920,531.8511113,6.066616517,1.99E-92,4442.018312,1.3,0.469471563,-0.495675231
1643593980,500.9846715,5.997851632,0,4442.028324,1.3,0.473319667,-0.496216504
1643594040,444.4577283,5.640643623,2.77E-91,4442.038383,1.3,0.47715876,-0.496757583
1643594100,452.3625121,4.789203508,0,4442.048494,1.3,0.480988769,-0.49729847
1643594160,458.6598746,5.154542347,3.86E-90,4442.058661,1.3,0.48480962,-0.497839163
1643594220,454.6289251,4.792330809,0,4442.068891,1.3,0.488621241,-0.498379663
1643594280,493.8145761,5.577081173,5.43E-89,4442.079187,1.3,0.49242356,-0.498919969
1643594340,503.4369183,5.959735931,0,4442.089555,1.3,0.496216504,-0.499460082
1643594400,539.6580181,6.120245473,7.30E-88,4442.1,1.3,0.5,-0.5
1643594460,552.2101471,5.858282175,0,4442.110524,1.3,0.503773977,-0.500539724
1643594520,520.2944124,6.147625827,1.02E-86,4442.121117,1.3,0.507538363,-0.501079254
1643594580,518.1343767,5.850214518,0,4442.13177,1.3,0.511293086,-0.501618589
1643594640,505.7412978,6.152516103,1.42E-85,4442.14247,1.3,0.515038075,-0.502157729
1643594700,518.8578216,5.838721072,0,4442.153206,1.3,0.518773258,-0.502696673
1643594760,511.0041355,6.19359961,1.97E-84,4442.163966,1.3,0.522498565,-0.503235423
1643594820,526.3644524,5.685880487,0,4442.17474,1.3,0.526213924,-0.503773977
1643594880,521.6203418,6.85500344,2.75E-83,4442.185516,1.3,0.529919264,-0.504312335
1643594940,471.8802178,5.786105751,0,4442.196282,1.3,0.533614516,-0.504850498
1643595000,497.0478364,6.166948557,3.82E-82,4442.207027,1.3,0.537299608,-0.505388464
1643595060,455.812118,5.454919512,0,4442.21774,1.3,0.540974471,-0.505926234
1643595120,462.77642,5.339097575,5.19E-81,4442.228409,1.3,0.544639035,-0.506463807
1643595180,524.6899545,6.068192294,0,4442.239023,1.3,0.54829323,-0.507001183
1643595240,477.4311281,6.207509257,6.94E-80,4442.249571,1.3,0.551936985,-0.507538363
1643595300,481.4229464,4.909774392,0,4442.26004,1.3,0.555570233,-0.508075345
