timestamp,generatedElectricity,instanceElectricity_x,normalUsage,reverseUsage,instanceElectricity_y,instanceCurrents,instanceCurrentsT
1643590491,,,,,-888.0,-5.0,-4.0
1643590505,,1089.0,,,,,
1643590521,,,,,-2132.0,,
1643590551,,,,,-932.0,-6.0,-4.0
1643590565,2291.632,1555.0,,,,,
1643590581,,,,,-3180.0,,
1643590611,,,,,-3120.0,-16.0,-16.0
1643590625,,3376.0,,,,,
1643590641,,,,,-3144.0,,
1643590671,,,,,-2432.0,-13.0,-12.0
1643590685,,2858.0,,,,,
1643590701,,,,,-2452.0,,
1643590731,,,,,-3104.0,-16.0,-15.0
1643590745,,3314.0,,,,,
1643590761,,,,,-3080.0,,
1643590791,,,,,-2744.0,-14.0,-14.0
1643590800,,,24545.4,1794.8,,,
1643590805,,3331.0,,,,,
1643590821,,,,,-3060.0,,
1643590852,,,,,-3060.0,-16.0,-15.0
1643590865,2293.039,3373.0,,,,,
1643590881,,,,,-3008.0,,
1643590911,,,,,-3076.0,-16.0,-15.0
1643590925,,3358.0,,,,,
1643590941,,,,,-1972.0,,
1643590971,,,,,-2128.0,-12.0,-10.0
1643590985,,1857.0,,,,,
1643591001,,,,,-2988.0,,
1643591032,,,,,-3200.0,-17.0,-15.0
1643591045,,3283.0,,,,,
1643591061,,,,,-3044.0,,
1643591092,,,,,-3080.0,-16.0,-15.0
1643591105,,3442.0,,,,,
1643591122,,,,,-3140.0,,
1643591152,,,,,-3176.0,-17.0,-15.0
1643591166,2293.039,3460.0,,,,,
1643591182,,,,,-3140.0,,
1643591212,,,,,-3156.0,-17.0,-15.0
1643591226,,3516.0,,,,,
1643591242,,,,,-3240.0,,
1643591272,,,,,-2824.0,-16.0,-13.0
1643591286,,3410.0,,,,,
1643591301,,,,,-3088.0,,
1643591332,,,,,-3184.0,-17.0,-15.0
1643591346,,3440.0,,,,,
1643591362,,,,,-3116.0,,
1643591392,,,,,-3148.0,-17.0,-15.0
1643591406,,3441.0,,,,,
1643591422,,,,,-3132.0,,
1643591452,,,,,-3200.0,-17.0,-15.0
1643591466,2293.039,3444.0,,,,,
1643591482,,,,,-3164.0,,
1643591512,,,,,-3180.0,-17.0,-16.0
1643591526,,3475.0,,,,,
1643591542,,,,,-3228.0,,
1643591572,,,,,-3172.0,-17.0,-15.0
1643591586,,3481.0,,,,,
1643591602,,,,,-3216.0,,
1643591632,,,,,-1744.0,-9.0,-8.0
1643591646,,3108.0,,,,,
1643591662,,,,,-3344.0,,
1643591692,,,,,-3320.0,-17.0,-16.0
1643591706,,3610.0,,,,,
1643591722,,,,,-3320.0,,
1643591752,,,,,-3428.0,-18.0,-17.0
1643591766,2293.039,3661.0,,,,,
1643591782,,,,,-3436.0,,
1643591812,,,,,-3236.0,-16.0,-17.0
1643591826,,3754.0,,,,,
1643591842,,,,,-3212.0,,
1643591872,,,,,-3564.0,-19.0,-17.0
1643591886,,3811.0,,,,,
1643591902,,,,,-3484.0,,
1643591932,,,,,-3480.0,-18.0,-17.0
1643591946,,3780.0,,,,,
1643591962,,,,,-3540.0,,
1643591992,,,,,-3416.0,-19.0,-16.0
1643592006,,3775.0,,,,,
1643592022,,,,,-3400.0,,
1643592053,,,,,-3468.0,-18.0,-16.0
1643592066,2293.039,3752.0,,,,,
1643592083,,,,,-3412.0,,
1643592113,,,,,-3392.0,-18.0,-16.0
1643592126,,3768.0,,,,,
1643592143,,,,,-3412.0,,
1643592173,,,,,-840.0,-5.0,-4.0
1643592187,,1234.0,,,,,
1643592202,,,,,-3404.0,,
1643592233,,,,,-3352.0,-18.0,-16.0
1643592247,,3819.0,,,,,
1643592263,,,,,-940.0,,
1643592293,,,,,-3100.0,-17.0,-15.0
1643592307,,1723.0,,,,,
1643592323,,,,,-492.0,,
1643592353,,,,,-1152.0,-7.0,-6.0
1643592367,2293.039,2526.0,,,,,
1643592383,,,,,-2824.0,,
1643592413,,,,,-696.0,-5.0,-3.0
1643592427,,2722.0,,,,,
1643592443,,,,,-484.0,,
1643592473,,,,,-1708.0,-10.0,-8.0
1643592487,,2155.0,,,,,
1643592503,,,,,-712.0,,
1643592533,,,,,-648.0,-4.0,-3.0
1643592547,,914.0,,,,,
1643592563,,,,,-644.0,,
1643592593,,,,,-3408.0,-18.0,-17.0
1643592600,,,24545.4,1796.2,,,
1643592607,,1456.0,,,,,
1643592623,,,,,-3524.0,,
1643592653,,,,,-3524.0,-18.0,-17.0
1643592667,2294.577,3765.0,,,,,
1643592683,,,,,-3520.0,,
1643592713,,,,,-3648.0,-19.0,-18.0
1643592727,,3855.0,,,,,
1643592743,,,,,-3528.0,,
1643592773,,,,,-3432.0,-18.0,-17.0
1643592787,,3763.0,,,,,
1643592803,,,,,-3460.0,,
1643592833,,,,,-3328.0,-17.0,-17.0
1643592847,,3881.0,,,,,
1643592863,,,,,-3648.0,,
1643592893,,,,,-3704.0,-19.0,-18.0
1643592907,,3938.0,,,,,
1643592923,,,,,-3596.0,,
1643592953,,,,,-3676.0,-19.0,-18.0
1643592967,2294.577,3929.0,,,,,
1643592983,,,,,-3640.0,,
1643593013,,,,,-3556.0,-18.0,-17.0
1643593027,,3872.0,,,,,
1643593043,,,,,-3660.0,,
1643593073,,,,,-3684.0,-19.0,-18.0
1643593087,,3894.0,,,,,
1643593103,,,,,-3288.0,,
1643593133,,,,,-3616.0,-19.0,-17.0
1643593147,,3867.0,,,,,
1643593163,,,,,-3756.0,,
1643593194,,,,,-3596.0,-19.0,-17.0
1643593208,,3941.0,,,,,
1643593224,,,,,-3652.0,,
1643593254,,,,,-3580.0,-19.0,-17.0
1643593268,2294.577,3912.0,,,,,
1643593284,,,,,-3580.0,,
1643593314,,,,,-3616.0,-19.0,-17.0
1643593328,,3893.0,,,,,
1643593344,,,,,-3528.0,,
1643593374,,,,,-3680.0,-19.0,-18.0
1643593388,,3942.0,,,,,
1643593404,,,,,-3672.0,,
1643593434,,,,,-3648.0,-19.0,-18.0
1643593448,,3957.0,,,,,
1643593464,,,,,-3724.0,,
1643593494,,,,,-3728.0,-20.0,-18.0
1643593508,,3996.0,,,,,
1643593524,,,,,-3564.0,,
1643593554,,,,,-3688.0,-19.0,-18.0
1643593568,2294.577,3922.0,,,,,
1643593584,,,,,-3716.0,,
1643593614,,,,,-3552.0,-19.0,-17.0
1643593628,,3932.0,,,,,
1643593644,,,,,-3628.0,,
1643593674,,,,,-3604.0,-18.0,-17.0
1643593688,,3853.0,,,,,
1643593704,,,,,-3528.0,,
1643593734,,,,,-3600.0,-19.0,-18.0
1643593748,,3804.0,,,,,
1643593764,,,,,-3612.0,,
1643593794,,,,,-3696.0,-19.0,-18.0
1643593808,,3913.0,,,,,
1643593824,,,,,-3676.0,,
1643593854,,,,,-3580.0,-18.0,-18.0
1643593868,2294.577,3894.0,,,,,
1643593884,,,,,-3672.0,,
1643593914,,,,,-3648.0,-19.0,-18.0
1643593928,,3852.0,,,,,
1643593944,,,,,-3636.0,,
1643593974,,,,,-3632.0,-19.0,-18.0
1643593988,,3840.0,,,,,
1643594004,,,,,-3680.0,,
1643594034,,,,,-3688.0,-19.0,-18.0
1643594048,,3970.0,,,,,
1643594064,,,,,-3916.0,,
1643594095,,,,,-3840.0,-20.0,-19.0
1643594108,,4089.0,,,,,
1643594124,,,,,-3836.0,,
1643594155,,,,,-3876.0,-20.0,-19.0
1643594168,2294.577,4091.0,,,,,
1643594184,,,,,-3820.0,,
1643594215,,,,,-3764.0,-20.0,-18.0
1643594229,,4035.0,,,,,
1643594245,,,,,-3572.0,,
1643594275,,,,,-3672.0,-19.0,-18.0
1643594289,,3947.0,,,,,
1643594305,,,,,-3720.0,,
1643594335,,,,,-3752.0,-19.0,-18.0
1643594349,,3949.0,,,,,
1643594365,,,,,-3604.0,,
1643594395,,,,,-3648.0,-19.0,-18.0
1643594400,,,24545.4,1798.0,,,
1643594409,,3912.0,,,,,
1643594425,,,,,-3592.0,,
1643594455,,,,,-3548.0,-19.0,-17.0
1643594469,2296.529,3933.0,,,,,
1643594485,,,,,-3612.0,,
1643594515,,,,,-3548.0,-19.0,-17.0
1643594529,,3934.0,,,,,
1643594545,,,,,-3580.0,,
1643594575,,,,,-3664.0,-19.0,-18.0
1643594589,,3951.0,,,,,
1643594605,,,,,-3596.0,,
1643594635,,,,,-3652.0,-20.0,-17.0
1643594649,,4005.0,,,,,
1643594665,,,,,-3708.0,,
1643594695,,,,,-3652.0,-19.0,-18.0
1643594709,,4025.0,,,,,
1643594725,,,,,-3656.0,,
