timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1644361039,,,60.0,3.0,-2.0,,,
1644361069,,,48.0,,,,,
1644361100,,,44.0,3.0,-2.0,,,
1644361129,,,52.0,,,,,
1644361136,,,,,,0.0,10300.0,66.0
1644361159,,,52.0,3.0,-2.0,,,
1644361188,,,64.0,,,,,
1644361200,6367.5,1143.5,,,,,,
1644361219,,,68.0,3.0,2.0,,,
1644361248,,,72.0,,,,,
1644361279,,,72.0,3.0,2.0,,,
1644361309,,,68.0,,,,,
1644361340,,,72.0,3.0,2.0,,,
1644361369,,,40.0,,,,,
1644361399,,,40.0,3.0,-2.0,,,
1644361429,,,36.0,,,,,
1644361436,,,,,,0.0,10300.0,66.0
1644361459,,,28.0,3.0,-2.0,,,
1644361489,,,124.0,,,,,
1644361519,,,128.0,3.0,-2.0,,,
1644361549,,,132.0,,,,,
1644361580,,,128.0,3.0,-2.0,,,
1644361609,,,124.0,,,,,
1644361640,,,124.0,3.0,-2.0,,,
1644361669,,,124.0,,,,,
1644361700,,,132.0,3.0,-2.0,,,
1644361729,,,132.0,,,,,
1644361737,,,,,,0.0,10300.0,66.0
1644361760,,,132.0,3.0,-2.0,,,
1644361790,,,124.0,,,,,
1644361820,,,128.0,3.0,-2.0,,,
1644361849,,,132.0,,,,,
1644361880,,,128.0,3.0,-2.0,,,
1644361910,,,132.0,,,,,
1644361940,,,132.0,3.0,-2.0,,,
1644361969,,,128.0,,,,,
1644362000,,,132.0,3.0,-2.0,,,
1644362029,,,128.0,,,,,
1644362037,,,,,,0.0,10300.0,66.0
1644362060,,,128.0,3.0,-2.0,,,
1644362089,,,124.0,,,,,
1644362120,,,68.0,3.0,-2.0,,,
1644362150,,,128.0,,,,,
1644362180,,,128.0,3.0,-2.0,,,
1644362209,,,132.0,,,,,
1644362240,,,132.0,3.0,-2.0,,,
1644362270,,,120.0,,,,,
1644362302,,,128.0,3.0,-2.0,,,
1644362330,,,132.0,,,,,
1644362337,,,,,,0.0,10300.0,66.0
1644362360,,,132.0,3.0,-2.0,,,
1644362390,,,128.0,,,,,
1644362421,,,136.0,3.0,-2.0,,,
1644362450,,,132.0,,,,,
1644362480,,,136.0,3.0,-2.0,,,
1644362510,,,128.0,,,,,
1644362541,,,132.0,3.0,-2.0,,,
1644362570,,,124.0,,,,,
1644362601,,,128.0,3.0,-2.0,,,
1644362631,,,128.0,,,,,
1644362638,,,,,,0.0,10300.0,66.0
1644362661,,,132.0,3.0,-2.0,,,
1644362690,,,132.0,,,,,
1644362721,,,128.0,3.0,-2.0,,,
1644362750,,,128.0,,,,,
1644362781,,,132.0,3.0,-2.0,,,
1644362811,,,120.0,,,,,
1644362841,,,124.0,3.0,-2.0,,,
1644362871,,,128.0,,,,,
1644362902,,,124.0,3.0,-2.0,,,
1644362930,,,124.0,,,,,
1644362938,,,,,,0.0,10300.0,66.0
1644362961,,,128.0,3.0,-2.0,,,
1644362990,,,124.0,,,,,
1644363000,6367.6,1143.5,,,,,,
1644363021,,,128.0,3.0,-2.0,,,
1644363050,,,124.0,,,,,
1644363081,,,124.0,3.0,-2.0,,,
1644363111,,,124.0,,,,,
1644363141,,,124.0,3.0,-2.0,,,
1644363171,,,116.0,,,,,
1644363201,,,124.0,3.0,-2.0,,,
1644363231,,,120.0,,,,,
1644363238,,,,,,0.0,10300.0,66.0
1644363262,,,124.0,3.0,-2.0,,,
1644363290,,,120.0,,,,,
1644363321,,,128.0,3.0,-2.0,,,
1644363350,,,124.0,,,,,
1644363381,,,124.0,3.0,-2.0,,,
1644363411,,,124.0,,,,,
1644363442,,,128.0,3.0,-2.0,,,
1644363471,,,124.0,,,,,
1644363502,,,124.0,3.0,-2.0,,,
1644363531,,,124.0,,,,,
1644363538,,,,,,0.0,10300.0,66.0
1644363562,,,128.0,3.0,-2.0,,,
1644363591,,,124.0,,,,,
1644363622,,,124.0,3.0,-2.0,,,
1644363651,,,128.0,,,,,
1644363682,,,124.0,3.0,-2.0,,,
1644363711,,,124.0,,,,,
1644363742,,,124.0,3.0,-2.0,,,
1644363772,,,128.0,,,,,
1644363801,,,132.0,3.0,-2.0,,,
1644363830,,,128.0,,,,,
1644363838,,,,,,0.0,10300.0,66.0
1644363861,,,124.0,3.0,-2.0,,,
1644363890,,,124.0,,,,,
1644363921,,,128.0,3.0,-2.0,,,
1644363950,,,124.0,,,,,
1644363981,,,128.0,3.0,-2.0,,,
1644364010,,,136.0,,,,,
1644364041,,,128.0,3.0,-2.0,,,
1644364071,,,128.0,,,,,
1644364101,,,124.0,3.0,-2.0,,,
1644364130,,,124.0,,,,,
1644364138,,,,,,0.0,10300.0,66.0
1644364161,,,128.0,3.0,-2.0,,,
1644364191,,,120.0,,,,,
1644364222,,,92.0,3.0,-2.0,,,
1644364251,,,124.0,,,,,
1644364281,,,32.0,4.0,-2.0,,,
1644364311,,,132.0,,,,,
1644364342,,,44.0,4.0,-2.0,,,
1644364371,,,140.0,,,,,
1644364403,,,152.0,6.0,-2.0,,,
1644364431,,,120.0,,,,,
1644364438,,,,,,0.0,10300.0,66.0
1644364462,,,144.0,6.0,-3.0,,,
1644364491,,,132.0,,,,,
1644364522,,,92.0,6.0,-3.0,,,
1644364551,,,116.0,,,,,
1644364582,,,128.0,6.0,-3.0,,,
1644364611,,,216.0,,,,,
1644364642,,,128.0,6.0,-3.0,,,
1644364672,,,332.0,,,,,
1644364702,,,132.0,5.0,-3.0,,,
1644364731,,,124.0,,,,,
1644364739,,,,,,0.0,10300.0,66.0
1644364762,,,88.0,5.0,-3.0,,,
1644364791,,,132.0,,,,,
1644364800,6367.7,1143.5,,,,,,
1644364822,,,-32.0,6.0,-3.0,,,
1644364851,,,124.0,,,,,
1644364882,,,96.0,6.0,-3.0,,,
1644364911,,,128.0,,,,,
1644364943,,,144.0,6.0,-3.0,,,
1644364971,,,124.0,,,,,
1644365002,,,156.0,6.0,-2.0,,,
1644365031,,,124.0,,,,,
1644365039,,,,,,0.0,10300.0,66.0
1644365064,,,68.0,3.0,-2.0,,,
1644365092,,,136.0,,,,,
1644365122,,,208.0,5.0,-2.0,,,
1644365152,,,140.0,,,,,
1644365183,,,80.0,3.0,-2.0,,,
1644365212,,,132.0,,,,,
1644365243,,,112.0,3.0,-2.0,,,
1644365272,,,64.0,,,,,
1644365303,,,-4.0,3.0,-2.0,,,
1644365332,,,0.0,,,,,
1644365339,,,,,,0.0,10300.0,66.0
1644365363,,,52.0,4.0,-2.0,,,
1644365392,,,28.0,,,,,
1644365423,,,76.0,4.0,-2.0,,,
1644365452,,,144.0,,,,,
1644365483,,,528.0,1.0,10.0,,,
1644365512,,,124.0,,,,,
1644365543,,,84.0,3.0,-2.0,,,
1644365572,,,244.0,,,,,
1644365603,,,128.0,3.0,0.0,,,
1644365632,,,48.0,,,,,
1644365640,,,,,,0.0,10300.0,66.0
1644365663,,,128.0,5.0,-3.0,,,
1644365692,,,24.0,,,,,
1644365723,,,52.0,5.0,-3.0,,,
1644365752,,,180.0,,,,,
1644365783,,,-76.0,4.0,-3.0,,,
1644365812,,,0.0,,,,,
1644365843,,,-12.0,5.0,-3.0,,,
1644365873,,,-136.0,,,,,
1644365903,,,44.0,5.0,-3.0,,,
1644365932,,,-80.0,,,,,
1644365940,,,,,,0.0,10300.0,66.0
1644365964,,,-164.0,4.0,-3.0,,,
1644365992,,,-56.0,,,,,
1644366023,,,-200.0,4.0,-3.0,,,
1644366052,,,-12.0,,,,,
1644366084,,,84.0,7.0,-4.0,,,
1644366113,,,-216.0,,,,,
1644366143,,,-372.0,1.0,-4.0,,,
1644366172,,,-264.0,,,,,
1644366203,,,-376.0,-3.0,-4.0,,,
1644366233,,,-416.0,,,,,
1644366240,,,,,,0.0,10300.0,66.0
1644366264,,,-392.0,-3.0,-4.0,,,
1644366293,,,-344.0,,,,,
1644366324,,,-324.0,3.0,-4.0,,,
1644366353,,,-364.0,,,,,
1644366384,,,-296.0,3.0,-4.0,,,
1644366413,,,-332.0,,,,,
1644366444,,,-364.0,-3.0,-4.0,,,
1644366473,,,-32.0,,,,,
1644366504,,,8.0,7.0,-3.0,,,
1644366533,,,-320.0,,,,,
1644366541,,,,,,0.0,10300.0,66.0
1644366564,,,-376.0,-3.0,-4.0,,,
1644366593,,,-332.0,,,,,
1644366600,6367.7,1143.6,,,,,,
1644366625,,,-408.0,-3.0,-4.0,,,
1644366653,,,-484.0,,,,,
1644366684,,,-572.0,-3.0,-4.0,,,
1644366713,,,-536.0,,,,,
1644366744,,,-440.0,-3.0,-4.0,,,
1644366773,,,-440.0,,,,,
1644366804,,,-172.0,-4.0,-2.0,,,
1644366836,,,-316.0,,,,,
1644366841,,,,,,0.0,10300.0,66.0
1644366864,,,-504.0,-1.0,-5.0,,,
1644366893,,,-428.0,,,,,
1644366924,,,-436.0,4.0,-5.0,,,
1644366954,,,-564.0,,,,,
1644366984,,,-644.0,-4.0,-6.0,,,
1644367014,,,-604.0,,,,,
1644367044,,,-780.0,-5.0,-6.0,,,
1644367074,,,-796.0,,,,,
1644367105,,,-984.0,-5.0,-6.0,,,
1644367134,,,-976.0,,,,,
1644367141,,,,,,0.0,10300.0,66.0
1644367164,,,-1012.0,-5.0,-7.0,,,
1644367194,,,-1008.0,,,,,
1644367224,,,-984.0,-5.0,-6.0,,,
1644367253,,,-980.0,,,,,
1644367285,,,-948.0,-5.0,-6.0,,,
1644367314,,,-956.0,,,,,
1644367345,,,-948.0,-5.0,-6.0,,,
1644367374,,,-976.0,,,,,
1644367405,,,-972.0,-5.0,-6.0,,,
1644367434,,,-972.0,,,,,
1644367441,,,,,,0.0,10300.0,66.0
1644367465,,,-976.0,-5.0,-6.0,,,
1644367494,,,-972.0,,,,,
1644367525,,,-952.0,-5.0,-6.0,,,
1644367554,,,-916.0,,,,,
1644367585,,,-900.0,-5.0,-6.0,,,
1644367614,,,-756.0,,,,,
1644367645,,,-696.0,-4.0,-6.0,,,
1644367674,,,-728.0,,,,,
1644367705,,,-876.0,-4.0,-6.0,,,
1644367734,,,-836.0,,,,,
1644367742,,,,,,0.0,10300.0,66.0
1644367765,,,-752.0,-4.0,-6.0,,,
1644367795,,,-676.0,,,,,
1644367825,,,-572.0,2.0,-7.0,,,
1644367854,,,-784.0,,,,,
1644367885,,,-828.0,-4.0,-7.0,,,
1644367915,,,-628.0,,,,,
1644367946,,,-852.0,-4.0,-7.0,,,
1644367974,,,-648.0,,,,,
1644368006,,,-564.0,-1.0,-7.0,,,
1644368035,,,-332.0,,,,,
1644368042,,,,,,0.0,10300.0,66.0
1644368065,,,-748.0,3.0,-7.0,,,
1644368095,,,-616.0,,,,,
1644368126,,,-668.0,3.0,-7.0,,,
1644368155,,,-716.0,,,,,
1644368186,,,-1228.0,-5.0,-8.0,,,
1644368215,,,-840.0,,,,,
1644368246,,,-992.0,-5.0,-7.0,,,
1644368275,,,-708.0,,,,,
1644368305,,,-892.0,-4.0,-7.0,,,
1644368335,,,-908.0,,,,,
1644368342,,,,,,0.0,10300.0,66.0
1644368366,,,-952.0,-4.0,-7.0,,,
1644368395,,,-948.0,,,,,
1644368400,6367.7,1144.0,,,,,,
1644368426,,,-892.0,-4.0,-7.0,,,
1644368455,,,-976.0,,,,,
1644368486,,,-1108.0,-5.0,-7.0,,,
1644368515,,,-1044.0,,,,,
1644368546,,,-1136.0,-5.0,-8.0,,,
1644368575,,,-952.0,,,,,
1644368606,,,-888.0,-4.0,-7.0,,,
1644368636,,,-692.0,,,,,
1644368643,,,,,,0.0,10300.0,66.0
1644368666,,,-548.0,6.0,-7.0,,,
1644368695,,,-700.0,,,,,
1644368726,,,-644.0,6.0,-7.0,,,
1644368755,,,-1080.0,,,,,
1644368786,,,-1048.0,-4.0,-8.0,,,
1644368815,,,-1064.0,,,,,
1644368846,,,-1044.0,-4.0,-8.0,,,
1644368875,,,-984.0,,,,,
1644368906,,,-1056.0,-4.0,-7.0,,,
1644368939,,,-1096.0,,,,,
1644368943,,,,,,0.0,10300.0,66.0
1644368966,,,-1092.0,-5.0,-8.0,,,
1644368996,,,-1328.0,,,,,
1644369027,,,-1400.0,-5.0,-9.0,,,
1644369056,,,-1404.0,,,,,
1644369086,,,-1472.0,-6.0,-9.0,,,
1644369116,,,-1452.0,,,,,
1644369146,,,-1448.0,-6.0,-9.0,,,
1644369176,,,-104.0,,,,,
1644369206,,,0.0,4.0,-2.0,,,
1644369236,,,124.0,,,,,
1644369243,,,,,,0.0,10300.0,66.0
1644369266,,,-36.0,5.0,-4.0,,,
1644369296,,,8.0,,,,,
1644369326,,,-236.0,5.0,-5.0,,,
1644369356,,,0.0,,,,,
1644369388,,,-640.0,-3.0,-5.0,,,
1644369416,,,-728.0,,,,,
1644369447,,,-752.0,-3.0,-6.0,,,
1644369476,,,-784.0,,,,,
1644369507,,,-900.0,-4.0,-6.0,,,
1644369536,,,-912.0,,,,,
1644369544,,,,,,0.0,10300.0,66.0
1644369567,,,-928.0,-4.0,-6.0,,,
1644369596,,,-984.0,,,,,
1644369627,,,-948.0,-4.0,-6.0,,,
1644369656,,,-1000.0,,,,,
1644369687,,,-948.0,-5.0,-7.0,,,
1644369716,,,-1200.0,,,,,
1644369747,,,-1260.0,-5.0,-8.0,,,
1644369776,,,-1340.0,,,,,
1644369807,,,-1304.0,-5.0,-8.0,,,
1644369836,,,-1328.0,,,,,
1644369844,,,,,,0.0,10300.0,66.0
1644369867,,,-1248.0,-5.0,-8.0,,,
1644369897,,,-1372.0,,,,,
1644369927,,,-1304.0,-5.0,-8.0,,,
1644369957,,,-1368.0,,,,,
1644369987,,,-1484.0,-6.0,-9.0,,,
1644370018,,,-1608.0,,,,,
1644370047,,,-1608.0,-7.0,-10.0,,,
1644370077,,,-1612.0,,,,,
1644370109,,,-1600.0,-7.0,-10.0,,,
1644370137,,,-1472.0,,,,,
1644370144,,,,,,0.0,10300.0,66.0
1644370168,,,-1432.0,-6.0,-10.0,,,
1644370197,,,-1552.0,,,,,
1644370200,6367.7,1144.5,,,,,,
1644370228,,,-1584.0,-7.0,-10.0,,,
1644370257,,,-1212.0,,,,,
1644370288,,,-1280.0,-6.0,-10.0,,,
1644370317,,,-1144.0,,,,,
1644370348,,,-1100.0,-6.0,-9.0,,,
1644370377,,,-1144.0,,,,,
1644370408,,,-1344.0,-6.0,-8.0,,,
1644370437,,,-1352.0,,,,,
1644370444,,,,,,0.0,10300.0,66.0
1644370468,,,-1252.0,-6.0,-8.0,,,
1644370497,,,-1052.0,,,,,
1644370528,,,-1648.0,-7.0,-10.0,,,
1644370557,,,-1668.0,,,,,
1644370588,,,-1668.0,-7.0,-10.0,,,
1644370617,,,-1680.0,,,,,
1644370648,,,-1684.0,-7.0,-10.0,,,
1644370678,,,-312.0,,,,,
1644370708,,,304.0,7.0,-3.0,,,
1644370737,,,136.0,,,,,
1644370745,,,,,,0.0,10300.0,66.0
1644370768,,,-188.0,4.0,-8.0,,,
1644370797,,,152.0,,,,,
1644370829,,,92.0,9.0,-8.0,,,
1644370858,,,-1268.0,,,,,
1644370888,,,-1308.0,-5.0,-8.0,,,
1644370918,,,-1184.0,,,,,
1644370949,,,-1360.0,-5.0,-8.0,,,
1644370978,,,-1492.0,,,,,
1644371008,,,-1520.0,-6.0,-9.0,,,
1644371038,,,-1552.0,,,,,
1644371045,,,,,,0.0,10300.0,66.0
1644371068,,,-1572.0,-7.0,-9.0,,,
1644371098,,,-1564.0,,,,,
1644371129,,,-1416.0,-6.0,-8.0,,,
1644371157,,,-1364.0,,,,,
1644371189,,,-1380.0,-6.0,-8.0,,,
1644371218,,,-1476.0,,,,,
1644371249,,,-1460.0,-6.0,-9.0,,,
1644371278,,,-1444.0,,,,,
1644371309,,,-1336.0,-6.0,-9.0,,,
1644371338,,,-1836.0,,,,,
1644371345,,,,,,0.0,10300.0,66.0
1644371369,,,-1772.0,-7.0,-11.0,,,
1644371398,,,-1824.0,,,,,
1644371429,,,-1888.0,-8.0,-11.0,,,
1644371458,,,-1892.0,,,,,
1644371489,,,-1904.0,-8.0,-11.0,,,
1644371518,,,-1892.0,,,,,
1644371549,,,-1896.0,-8.0,-11.0,,,
1644371578,,,-1644.0,,,,,
1644371609,,,-1888.0,-8.0,-11.0,,,
1644371638,,,-1892.0,,,,,
1644371646,,,,,,0.0,10300.0,66.0
1644371669,,,-1908.0,-8.0,-11.0,,,
1644371699,,,-1908.0,,,,,
1644371730,,,-1912.0,-8.0,-11.0,,,
1644371758,,,-1916.0,,,,,
1644371789,,,-1912.0,-8.0,-11.0,,,
1644371818,,,-1904.0,,,,,
1644371849,,,-1912.0,-8.0,-11.0,,,
1644371878,,,-1908.0,,,,,
1644371909,,,-592.0,6.0,-11.0,,,
1644371938,,,-584.0,,,,,
1644371970,,,-584.0,6.0,-11.0,,,
1644371999,,,-588.0,,,,,
1644372000,6367.7,1145.2,,,,,,
1644372006,,,,,,0.0,10300.0,66.0
1644372029,,,-592.0,6.0,-11.0,,,
1644372059,,,-1824.0,,,,,
1644372090,,,-1924.0,-8.0,-11.0,,,
1644372119,,,-144.0,,,,,
1644372150,,,-264.0,1.0,-4.0,,,
1644372179,,,-244.0,,,,,
1644372210,,,-1844.0,-8.0,-10.0,,,
1644372239,,,-1840.0,,,,,
1644372246,,,,,,0.0,10300.0,66.0
1644372270,,,-1856.0,-8.0,-10.0,,,
1644372299,,,-1660.0,,,,,
1644372330,,,-1496.0,-6.0,-9.0,,,
1644372359,,,-1512.0,,,,,
1644372390,,,-1468.0,-7.0,-9.0,,,
1644372419,,,-1380.0,,,,,
1644372450,,,-1408.0,-6.0,-9.0,,,
1644372479,,,-1440.0,,,,,
1644372510,,,-1840.0,-8.0,-10.0,,,
1644372539,,,-1816.0,,,,,
1644372547,,,,,,0.0,10300.0,66.0
1644372570,,,-1764.0,-7.0,-10.0,,,
1644372600,,,-1776.0,,,,,
1644372631,,,-1752.0,-7.0,-11.0,,,
1644372659,,,-1852.0,,,,,
1644372690,,,-1788.0,-7.0,-11.0,,,
1644372719,,,-1888.0,,,,,
1644372750,,,-1884.0,-8.0,-11.0,,,
1644372779,,,-392.0,,,,,
1644372810,,,-1604.0,-8.0,-8.0,,,
1644372839,,,-1900.0,,,,,
1644372847,,,,,,0.0,10300.0,66.0
1644372870,,,-1924.0,-8.0,-11.0,,,
1644372900,,,-1944.0,,,,,
1644372930,,,-1944.0,-8.0,-11.0,,,
1644372959,,,-1932.0,,,,,
1644372990,,,-1944.0,-8.0,-11.0,,,
1644373019,,,-1940.0,,,,,
1644373051,,,-1940.0,-8.0,-11.0,,,
1644373080,,,-1924.0,,,,,
1644373110,,,-1924.0,-8.0,-11.0,,,
1644373140,,,-1928.0,,,,,
1644373147,,,,,,0.0,10300.0,66.0
1644373171,,,-1940.0,-8.0,-11.0,,,
1644373201,,,-1940.0,,,,,
1644373231,,,-1944.0,-8.0,-11.0,,,
1644373260,,,-1936.0,,,,,
1644373291,,,-1944.0,-8.0,-11.0,,,
1644373320,,,-1952.0,,,,,
1644373351,,,-1948.0,-9.0,-11.0,,,
1644373380,,,-1948.0,,,,,
1644373411,,,-1932.0,-8.0,-11.0,,,
1644373440,,,-1924.0,,,,,
1644373448,,,,,,0.0,10300.0,66.0
1644373471,,,-1716.0,-7.0,-10.0,,,
1644373500,,,-1672.0,,,,,
1644373531,,,-1624.0,-7.0,-9.0,,,
1644373560,,,-1572.0,,,,,
1644373592,,,-1544.0,-7.0,-9.0,,,
1644373621,,,-1536.0,,,,,
1644373651,,,-1516.0,-7.0,-9.0,,,
1644373681,,,-1648.0,,,,,
1644373711,,,-1692.0,-7.0,-10.0,,,
1644373740,,,-1940.0,,,,,
1644373748,,,,,,0.0,10300.0,66.0
1644373771,,,-1956.0,-8.0,-11.0,,,
1644373800,6367.7,1146.0,-1952.0,,,,,
1644373831,,,-1960.0,-8.0,-11.0,,,
1644373861,,,-1964.0,,,,,
1644373891,,,-1964.0,-8.0,-11.0,,,
1644373921,,,-1964.0,,,,,
1644373951,,,-1972.0,-8.0,-11.0,,,
1644373981,,,-1968.0,,,,,
1644374011,,,-1972.0,-8.0,-11.0,,,
1644374041,,,-1972.0,,,,,
1644374048,,,,,,0.0,10300.0,66.0
1644374072,,,-1972.0,-8.0,-11.0,,,
1644374101,,,-1724.0,,,,,
1644374132,,,-1756.0,-8.0,-10.0,,,
1644374161,,,-1964.0,,,,,
1644374192,,,-1968.0,-8.0,-11.0,,,
1644374221,,,-1980.0,,,,,
1644374252,,,-1980.0,-8.0,-11.0,,,
1644374281,,,-1976.0,,,,,
1644374312,,,-1976.0,-8.0,-11.0,,,
1644374341,,,-1976.0,,,,,
1644374348,,,,,,0.0,10300.0,66.0
1644374372,,,-1984.0,-8.0,-11.0,,,
1644374404,,,-1988.0,,,,,
1644374432,,,-1984.0,-8.0,-11.0,,,
1644374461,,,-1972.0,,,,,
1644374492,,,-1764.0,-8.0,-10.0,,,
1644374521,,,-1696.0,,,,,
1644374552,,,-1664.0,-7.0,-10.0,,,
1644374581,,,-1600.0,,,,,
1644374612,,,-1556.0,-7.0,-9.0,,,
1644374641,,,-1564.0,,,,,
1644374649,,,,,,0.0,10300.0,66.0
1644374672,,,-1532.0,-7.0,-9.0,,,
1644374701,,,-1932.0,,,,,
1644374732,,,-1948.0,-8.0,-11.0,,,
1644374761,,,-1948.0,,,,,
1644374792,,,-1912.0,-8.0,-11.0,,,
1644374821,,,-1908.0,,,,,
1644374853,,,-1908.0,-8.0,-11.0,,,
1644374882,,,-1916.0,,,,,
1644374912,,,-1900.0,-8.0,-11.0,,,
1644374943,,,-1900.0,,,,,
1644374949,,,,,,0.0,10300.0,66.0
1644374973,,,-1904.0,-8.0,-11.0,,,
1644375002,,,-1904.0,,,,,
1644375032,,,-1900.0,-8.0,-11.0,,,
1644375062,,,-1908.0,,,,,
1644375093,,,-1996.0,-9.0,-11.0,,,
1644375122,,,-2004.0,,,,,
1644375152,,,-2000.0,-9.0,-11.0,,,
1644375182,,,-2000.0,,,,,
1644375212,,,-2008.0,-9.0,-11.0,,,
1644375243,,,-2008.0,,,,,
1644375249,,,,,,0.0,10300.0,66.0
1644375273,,,-2008.0,-9.0,-11.0,,,
1644375302,,,-2008.0,,,,,
1644375333,,,-2016.0,-9.0,-11.0,,,
1644375362,,,-1796.0,,,,,
1644375393,,,-1792.0,-9.0,-10.0,,,
1644375422,,,-2008.0,,,,,
1644375453,,,-2044.0,-9.0,-11.0,,,
1644375482,,,-2040.0,,,,,
1644375513,,,-2044.0,-9.0,-11.0,,,
1644375542,,,-1844.0,,,,,
1644375550,,,,,,0.0,10300.0,66.0
1644375573,,,-1996.0,-9.0,-11.0,,,
1644375600,6367.7,1147.0,,,,,,
1644375602,,,-1968.0,,,,,
1644375633,,,-2024.0,-9.0,-11.0,,,
1644375662,,,-1964.0,,,,,
1644375693,,,-1972.0,-8.0,-11.0,,,
1644375722,,,-1996.0,,,,,
1644375753,,,-1820.0,-8.0,-11.0,,,
1644375783,,,-2008.0,,,,,
1644375814,,,-2000.0,-9.0,-11.0,,,
1644375842,,,-2008.0,,,,,
1644375850,,,,,,0.0,10100.0,66.0
1644375873,,,-2008.0,-10.0,-11.0,,,
1644375902,,,60.0,,,,,
1644375933,,,60.0,3.0,-2.0,,,
1644375963,,,60.0,,,,,
1644375993,,,60.0,4.0,-2.0,,,
1644376022,,,60.0,,,,,
1644376055,,,-1120.0,-9.0,-10.0,,,
1644376082,,,-1988.0,,,,,
1644376113,,,-1992.0,-9.0,-11.0,,,
1644376143,,,-2012.0,,,,,
1644376150,,,,,,0.0,10100.0,66.0
1644376174,,,-2028.0,-9.0,-11.0,,,
1644376203,,,-1476.0,,,,,
1644376234,,,56.0,8.0,-5.0,,,
1644376263,,,56.0,,,,,
1644376294,,,56.0,8.0,-5.0,,,
1644376323,,,56.0,,,,,
1644376353,,,-960.0,-6.0,-11.0,,,
1644376383,,,-2008.0,,,,,
1644376414,,,-1712.0,-7.0,-11.0,,,
1644376443,,,-1996.0,,,,,
1644376451,,,,,,0.0,10100.0,66.0
1644376474,,,-1392.0,-6.0,-11.0,,,
1644376503,,,-1392.0,,,,,
1644376534,,,-1396.0,-6.0,-11.0,,,
1644376563,,,60.0,,,,,
1644376594,,,52.0,8.0,-5.0,,,
1644376623,,,52.0,,,,,
1644376655,,,52.0,8.0,-5.0,,,
1644376683,,,-1372.0,,,,,
1644376714,,,-1368.0,-6.0,-11.0,,,
1644376744,,,-2024.0,,,,,
1644376751,,,,,,0.0,10100.0,66.0
1644376774,,,-2024.0,-9.0,-11.0,,,
1644376804,,,-2020.0,,,,,
1644376834,,,-2016.0,-9.0,-11.0,,,
1644376864,,,60.0,,,,,
1644376894,,,52.0,-4.0,8.0,,,
1644376924,,,52.0,,,,,
1644376955,,,52.0,1.0,6.0,,,
1644376984,,,-1368.0,,,,,
1644377014,,,-1368.0,-9.0,-9.0,,,
1644377044,,,-1344.0,,,,,
1644377051,,,,,,0.0,9900.0,66.0
1644377074,,,-1156.0,-8.0,-9.0,,,
1644377104,,,-1200.0,,,,,
1644377134,,,-1024.0,-8.0,-8.0,,,
1644377164,,,-964.0,,,,,
1644377195,,,-924.0,-7.0,-9.0,,,
1644377224,,,52.0,,,,,
1644377255,,,68.0,-2.0,6.0,,,
1644377284,,,52.0,,,,,
1644377315,,,52.0,-4.0,9.0,,,
1644377344,,,-1660.0,,,,,
1644377351,,,,,,0.0,9900.0,66.0
1644377375,,,-1340.0,-9.0,-8.0,,,
1644377400,6367.7,1147.5,,,,,,
1644377404,,,-1332.0,,,,,
1644377435,,,-2020.0,-9.0,-11.0,,,
1644377464,,,-2028.0,,,,,
1644377495,,,-2048.0,-10.0,-11.0,,,
1644377524,,,-2044.0,,,,,
1644377555,,,-2044.0,-10.0,-11.0,,,
1644377585,,,-2036.0,,,,,
1644377615,,,64.0,3.0,-2.0,,,
1644377644,,,60.0,,,,,
1644377652,,,,,,100.0,9500.0,67.0
1644377675,,,-2036.0,-10.0,-11.0,,,
1644377704,,,-2036.0,,,,,
1644377735,,,-2040.0,-10.0,-11.0,,,
1644377764,,,-2040.0,,,,,
1644377795,,,-1788.0,-10.0,-9.0,,,
1644377825,,,-2040.0,,,,,
1644377855,,,-2048.0,-10.0,-11.0,,,
1644377885,,,-2048.0,,,,,
1644377915,,,-2024.0,-10.0,-11.0,,,
1644377945,,,-1800.0,,,,,
1644377952,,,,,,0.0,9500.0,66.0
1644377976,,,-1768.0,-8.0,-10.0,,,
1644378004,,,-1696.0,,,,,
1644378036,,,60.0,3.0,-2.0,,,
1644378065,,,60.0,,,,,
1644378096,,,60.0,4.0,-3.0,,,
1644378125,,,-1688.0,,,,,
1644378156,,,-2024.0,-10.0,-11.0,,,
1644378185,,,-2028.0,,,,,
1644378216,,,-2028.0,-10.0,-11.0,,,
1644378244,,,-2032.0,,,,,
1644378251,,,,,,0.0,9500.0,66.0
1644378275,,,-2028.0,-10.0,-11.0,,,
1644378304,,,-2028.0,,,,,
1644378335,,,-2032.0,-10.0,-11.0,,,
1644378364,,,-2028.0,,,,,
1644378395,,,-2028.0,-9.0,-11.0,,,
1644378424,,,60.0,,,,,
1644378455,,,60.0,3.0,-2.0,,,
1644378484,,,-1124.0,,,,,
1644378515,,,-2028.0,-10.0,-11.0,,,
1644378544,,,-2028.0,,,,,
1644378552,,,,,,0.0,9500.0,66.0
1644378575,,,-2028.0,-10.0,-11.0,,,
1644378604,,,-2028.0,,,,,
1644378635,,,-2024.0,-9.0,-11.0,,,
1644378664,,,-2016.0,,,,,
1644378695,,,-2016.0,-9.0,-11.0,,,
1644378724,,,-2012.0,,,,,
