timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643592100,,,7.0,-2.0,4.0
1643592127,,,10.0,,
1643592159,,,13.0,-2.0,4.0
1643592187,,,4.0,,
1643592218,,,17.0,-2.0,4.0
1643592248,,,-1.0,,
1643592279,,,4.0,-2.0,3.0
1643592308,,,8.0,,
1643592339,,,8.0,-2.0,4.0
1643592367,,,7.0,,
1643592399,,,3.0,-2.0,3.0
1643592428,,,2.0,,
1643592459,,,12.0,-2.0,4.0
1643592487,,,6.0,,
1643592519,,,8.0,-2.0,4.0
1643592548,,,3.0,,
1643592579,,,4.0,-2.0,3.0
1643592600,4721.9,588.7,,,
1643592608,,,6.0,,
1643592639,,,6.0,-2.0,3.0
1643592668,,,12.0,,
1643592699,,,-4.0,-2.0,3.0
1643592728,,,0.0,,
1643592759,,,-1.0,-2.0,4.0
1643592788,,,5.0,,
1643592819,,,2.0,-2.0,3.0
1643592848,,,-5.0,,
1643592879,,,2.0,-2.0,4.0
1643592908,,,4.0,,
1643592939,,,-6.0,-2.0,4.0
1643592969,,,10.0,,
1643592999,,,-2.0,-2.0,3.0
1643593028,,,28.0,,
1643593064,,,11.0,-2.0,4.0
1643593088,,,3.0,,
1643593119,,,-2.0,2.0,-1.0
1643593148,,,-8.0,,
1643593180,,,6.0,2.0,-1.0
1643593210,,,-4.0,,
1643593240,,,-10.0,2.0,-1.0
1643593268,,,3.0,,
1643593300,,,9.0,2.0,-1.0
1643593328,,,10.0,,
1643593360,,,-2.0,-2.0,3.0
1643593388,,,-5.0,,
1643593420,,,6.0,-2.0,3.0
1643593449,,,6.0,,
1643593481,,,10.0,-2.0,3.0
1643593509,,,-3.0,,
1643593540,,,7.0,-2.0,4.0
1643593569,,,9.0,,
1643593600,,,11.0,-2.0,4.0
1643593629,,,8.0,,
1643593660,,,44.0,-3.0,4.0
1643593689,,,7.0,,
1643593720,,,9.0,-2.0,3.0
1643593749,,,16.0,,
1643593781,,,-15.0,-2.0,3.0
1643593809,,,-4.0,,
1643593840,,,7.0,-2.0,3.0
1643593869,,,-10.0,,
1643593900,,,30.0,-3.0,4.0
1643593930,,,9.0,,
1643593961,,,12.0,-2.0,3.0
1643593989,,,2.0,,
1643594021,,,16.0,-2.0,3.0
1643594049,,,7.0,,
1643594080,,,33.0,-3.0,4.0
1643594109,,,-2.0,,
1643594141,,,13.0,-2.0,3.0
1643594169,,,13.0,,
1643594201,,,5.0,-2.0,3.0
1643594229,,,-1.0,,
1643594261,,,5.0,-2.0,3.0
1643594290,,,8.0,,
1643594321,,,6.0,-2.0,3.0
1643594350,,,8.0,,
1643594381,,,10.0,-2.0,3.0
1643594400,4721.9,588.7,,,
1643594410,,,9.0,,
1643594441,,,41.0,-3.0,4.0
1643594470,,,10.0,,
1643594501,,,1.0,2.0,-1.0
1643594529,,,-5.0,,
1643594561,,,-55.0,2.0,-1.0
1643594590,,,-3.0,,
